lng,lat
3,28
-77.5,-2
30,-3.5
35,-6
32,1
24,-29
-77.5,-2
30,-3.5
24,-29
2.25,9.5
30,-2
30,-3.5
-14,14
-14,14
25,0
24,-29
-14,14
2.25,9.5
-14,14
25,0
25,0
30,-3.5
30,-3.5
30,-3.5
4.3498873,50.8384699
25,0
25,0
30,-3.5
30,-2
30,-2
30,-2
30,-3.5
30,-3.5
30,-3.5
-14,14
30,-3.5
2.25,9.5
30,-3.5
30,-3.5
30,-3.5
30,-3.5
25,0
25,0
-65,-17
-65,-17
-65,-17
4.3498873,50.8384699
-14,14
30,-3.5
30,-2
23.908831,-0.414969
30,-2
35,-6
17,25
15.2698383,-4.324336
23.7293599,37.983917
-10,11
35,-18.25
30,-3.5
-96.66667,19.33333
-97.91667,18.75
-97.91667,18.75
-101.83333,19.16667
-101.83333,19.16667
-9.25,10.4
-13.21333,10.08667
-9.85,8.03333
-11.34601,9.50991
-10.75146,8.10768
-11,8.25
-12.16449,9.28444
-11.34601,9.50991
-12.16449,9.28444
-12.58333,10.83333
-11.815,10.459
-12.3,10.75
-11.11667,10.6
-9.85,8.03333
-11.34601,9.50991
-10.75146,8.10768
-12.16449,9.28444
-8.78333,6.81667
-10.56667,6.5
-9.63333,6.96667
-10.81667,6.73333
-10.31667,6.55
-11.84173,8.61885
-12.75904,8.72386
-12.44401,8.0629
88,24
85.5,23.75
76,19.5
73.83333,26.58333
76.5,10.41667
77.1,28.6667
97.5,26
81.4997,7.75
81.08333,8.58333
-90,16.83333
-65.8951807022095,-17.5230914208305
-11.34601,9.50991
-12.16449,9.28444
-11.6734,7.98877
49.1799522,11.2784798
49.1799522,11.2784798
71.5493551,37.4903983
71.558,37.9444
73.969034,38.1742683
68.7738867,38.4419092
70.7832,38.4668
68.3333296,39.4427453
70.5706,39.9792
69.4656018,40.1554569
69.5057952,40.1643095
69.5174,40.2141
14.0175762,13.5281655
33.99869,4.2501
32.5686267,4.4134231
138.099999999977,66.0999999999985
31.58247,4.85165
31.5587285,6.2039927
90.1181456,22.158905
91.8412863,22.3307998
90.3181,22.3542
90.6405813,22.689095
91.0974182,22.8637171
89.7574,23.5396
22.5539187,4.3125554
22.2604666,4.6522303
22.8232963,4.743526
23.9343724,4.9700715
22.7852158,5.6982151
12.378028,-5.9282219
12.443889,-5.92
13.05,-5.85
13.05,-5.85
15.016667,-5.8499999
13.4608643,-5.8256527
13.4652,-5.8208
14.4291669,-5.5612377
13.90667,-5.51869
15.3714491,-4.4003061
15.395,-4.363056
37.704,6.8252
38.088051,7.3105446
37.7837,7.5527
40.2013587,7.6756149
36.08333,7.85
40.3,8.21667
39.8921496,8.2490388
40.8489,8.6723
42.9544872,14.7978677
43.94293,15.66185
43.605821,15.694247
38.3476785,-7.8382969
35.7468174,-6.1791181
106.3734823,10.2448214
106.9699717,10.7560974
106,37.25
118,26.25
106.55278,29.56278
108.92861,34.25833
114.92417,27.795
105,35
116.39723,39.9075
113.66667,34
123,41
112.25,37.66667
115.66667,39
118.34,45.36
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
-65.8,-17.61667
-120.700000000012,4.70000000001164
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
-90.9298896789551,15.1997173613847
15.65,6.9833333
5.12222,52.09083
-91.1983680725098,15.0638355794773
-90.9963226318359,15.1954102540675
108.9374929,11.7569108
108.2608263,13.7964067
35.26199,-16.91995
35.66667,-15.66667
34.80091,-16.03352
35.00854,-15.78499
69.1624302,34.519705
-91.1490154266357,15.0288568093671
35.204271,31.898043
28.5634433281,-15.6524217969
44.827096,41.715138
44.827096,41.715138
5.12222,52.09083
5.12222,52.09083
35.25,1.125
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
5.12222,52.09083
2.41833,6.36536
9.69,49.4
5.12222,52.09083
5.12222,52.09083
118.25,36.33333
117.17667,39.14222
105,35
97.04012,20.79787
74.8616,32.7287
47.5,-18.45
44.4,-23.2
43.25506,-11.70216
-88.18761,15.125514
18.1,6.717
69.08203125,34.5715346725531
5.12222,52.09083
5.12222,52.09083
6.62222,52.40833
-74.00597,40.71427
5.12222,52.09083
35.20422,31.89964
35.20329,31.92157
35.20422,31.89964
5.12222,52.09083
34.78057,32.08088
35.21633,31.76904
35.20329,31.92157
35.20329,31.92157
35.20376,31.70487
5.12142,52.090737
23.5,-2.5
36.81667,-1.28333
85.289446,23.308835
5.12222,52.09083
79,22
91.736237091,26.144517026
43.5384,36.1844
88.512218,27.532972
5.12222,52.09083
77.792451,13.783396
90.40744,23.7104
95.268667,27.422671
89.540328,22.845641
5.12222,52.09083
77.20354,28.559725
88.363895,22.572646
91.83168,22.3384
77.22445,28.63576
78.96288,20.593684
79.088155,21.1458
80.270718,13.08268
76.98448,29.69197
79.70364,12.834174
77.341066,11.108524
75.713888,15.317277
79.262029,17.057571
80.270718,13.08268
78.486671,17.385044
80.270718,13.08268
79.739987,15.9129
79.739987,15.9129
77.341066,11.108524
90.412518,23.810332
90.40744,23.7104
71.929879,30.303934
85.3206,27.70169
80.89865,29.200598
85.023346,27.554636
